Sr. No.,Company,BSE Code
173,The Phoenix Mills Ltd.,503100
174,Kalyan Jewellers India Limited,543278
175,AU Small Finance Bank Limited,540611
176,Bank of India,532149
177,Supreme Industries Ltd.,509930
178,United Breweries Ltd.,532478
179,Steel Authority of India Ltd.,500113
180,Max Financial Services Limited,500271
181,Page Industries Ltd.,532827
182,IDFC FIRST BANK LIMITED,539437
183,Mphasis Limited,526299
184,GlaxoSmithkline Pharmaceuticals Ltd.,500660
185,Motilal Oswal Financial Services Limited,532892
186,Glenmark Pharmaceuticals ltd,532296
187,Federal Bank Ltd.,500469
188,L&T Finance Limited,533519
189,Balkrishna Industries Ltd.,502355
190,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,540767
191,Cochin Shipyard Limited,540678
192,Tata Communications Limited,500483
193,APL Apollo Tubes Limited,533758
194,J.K. CEMENT LTD,532644
195,Godfrey Phillips India Ltd.,500163
196,Hexaware Technologies Limited,544362
197,ITC Hotels Limited,544325
198,Premier Energies Limited,544238
199,L&T Technology Services Limited,540115
200,Biocon Ltd.,532523
201,Housing &Urban Development Corporation Ltd.,540530
202,Anthem Biosciences Limited,544449
203,PETRONET LNG LTD.,532522
204,Indian Renewable Energy Development Agency Limited,544026
205,Jubilant Foodworks Limited,533155
206,Procter & Gamble Hygiene & Health Care Ltd.,500459
207,Container Corporation Of India Ltd.,531344
208,Voltas Ltd.,500575
209,Authum Investment & Infrastructure Limited,539177
210,360 ONE WAM LIMITED,542772
211,Bank of maharashtra,532525
212,Thermax Ltd.,500411
213,DALMIA BHARAT LIMITED,542216
214,Gujarat Fluorochemicals Limited,542812
215,Laurus Labs Limited,540222
216,KAYNES TECHNOLOGY INDIA LIMITED,543664
217,Godrej Industries Ltd.,500164
218,UCO Bank,532505
219,ASTRAL LIMITED,532830
220,Escorts Kubota Limited,500495
221,CRISIL Ltd.,500092
222,SJVN LIMITED,533206
223,Narayana Hrudayalaya Limited,539551
224,Multi Commodity Exchange of India Ltd,534091
225,K.P.R. Mill Ltd.,532889
226,Blue Star Ltd,500067
227,Tata Elxsi Ltd,500408
228,Mahindra & Mahindra Financial Services Limited,532720
229,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,504973
230,Radico Khaitan Ltd.,532497
231,ACC Ltd,500410
232,Ipca Laboratories Ltd.,524494
233,Endurance Technologies Limited,540153
234,Cohance Lifesciences Limited,543064
235,KEI Industries Ltd.,517569
236,KPIT Technologies Ltd,542651
237,AWL AGRI BUSINESS LIMITED,543458
238,Global Health Limited,543654
239,National Aluminium Co. Ltd.,532234
240,Tata Investment Corporation Ltd.,501301
241,Central Bank of India,532885
242,3M India Ltd.,523395
243,POONAWALLA FINCORP LIMITED,524000
244,NLC India Limited,513683
245,Honeywell Automation India Ltd.,517174
246,Exide Industries Ltd.,500086
247,Ajanta Pharma Ltd.,532331
248,Lic Housing Finance Ltd.,500253
249,Metro Brands Limited,543426
250,Gillette India Ltd.,507815
251,Apar Industries Ltd,532259
252,Go Digit General Insurance Limited,544179
253,Gujarat Gas Limited,539336
254,The New India Assurance Company Limited,540769
255,AIA Engineering Ltd.,532683
256,Aster DM Healthcare Limited,540975
257,Apollo Tyres Ltd,500877
258,Sona BLW Precision Forgings Limited,543300
259,NBCC (India) Limited,534309
260,Delhivery Limited,543529
261, Gland Pharma Limited,543245
262,Indraprashtha Gas Ltd.,532514
263,Garden Reach Shipbuilders & Engineers Limited,542011
264,ITI Limited (Indian Teleph.Ind.Ltd),523610
265,Tata Technologies Limited,544028
266,IRB Infrastructure Developers Limited,532947
267,AEGIS VOPAK TERMINALS LIMITED,544407
268,Krishna Institute of Medical Sciences Limited,543308
269,SUMITOMO CHEMICAL INDIA LIMITED,542920
270,Bandhan Bank Limited,541153
271,PIRAMAL PHARMA LIMITED,543635
272,Aegis Logistics Ltd.,500003
273,Motherson Sumi Wiring India Limited,543498
274,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,544309
275,Syngene International Limited,539268
276,J.B. Chemicals & Pharmaceuticals Lt,506943
277,Deepak Nitrite Limited,506401
278,Emami Ltd,531162
279,AFFLE 3I LIMITED,542752
280,Brigade Enterprises Limited,532929
281,ZF Commercial Vehicle Control Systems India Limited,533023
282,PNB Housing Finance Limited,540173
283,Star Health and Allied Insurance Company Limited,543412
284,Shyam Metalics and Energy Limited,543299
285,Urban Company Limited,544515
286,Firstsource Solutions Ltd.,532809
287,Dr. Lal Pathlabs Limited,539524
288,National Securities Depository Limited,544467
289,The Ramco Cements Limited,500260
290,Wockhardt Ltd,532300
291,Bayer CropScience Limited.,506285
292,Nuvama Wealth Management Limited,543988
293,Emcure Pharmaceuticals Limited,544210
294,Jyoti CNC Automation Limited,544081
295,Hindustan Copper Ltd.,513599
296,Amber Enterprises India Limited,540902
297,JSW Holdings Limited,532642
298,Inox Wind Limited,539083
299,Mangalore Refinery & Petrochemicals,500109
300,EIH Ltd,500840
301,SUN TV NETWORK LIMITED,532733
302,ANGEL ONE LIMITED,543235
303,Navin Fluorine International Limited,532504
304,Pfizer Ltd.,500680
305,Tata Chemicals Ltd,500770
306,Chambal Fertilisers & Chemicals Ltd,500085
307,Himadri Speciality Chemical Ltd.,500184
308,Timken India Ltd,522113
309,Welspun Corp Limited,532144
310,ADITYA BIRLA REAL ESTATE LIMITED,500040
311,TVS Holdings Limited,520056
312,SKF India Ltd.,500472
313,Aditya Birla Sun Life AMC Limited,543374
314,Eris Lifesciences Limited,540596
315,Poly Medicure Ltd,531768
316,KEC International Ltd.,532714
317,AstraZeneca Pharma India Ltd.,506820
318,CESC Limited,500084
319,Manappuram Finance Limited,531213
320,Ola Electric Mobility Limited,544225
321,PTC Industries Ltd.,539006
322,Crompton Greaves Consumer Electricals Limited,539876
323,PUNJAB & SIND BANK,533295
324,Reliance Power Limited,532939
325,Onesource Specialty Pharma Limited,544292
326,Redington Limited,532805
327,Devyani International Limited,543330
328,PG Electroplast Limited,533581
329,Castrol India Ltd,500870
330,Sundram Fasteners Ltd.,500403
331,BASF India Ltd,500042
332,Aadhar Housing Finance Limited,544176
333,Hatsun Agro Products Ltd.,531531
334,JSW CEMENT LIMITED,544480
335,Sagility Limited,544282
336,Kansai Nerolac Paints,500165
337,Chalet Hotels Limited,542399
338,KIOCL Limited,540680
339,KFin Technologies Limited,543720
340,Five-Star Business Finance Ltd.,543663
341,Atul Limited.,500027
342,CreditAccess Grameen Ltd.,541770
343,ELITECON INTERNATIONAL LIMITED,539533
344,KALPATARU PROJECTS INTERNATIONAL LIMITED,522287
345,Computer Age Management Services Limited,543232
346,Asahi India Glass Ltd.,515030
347,Anand Rathi Wealth Limited,543415
348,Brainbees Solutions Limited,544226
349,Force Motors Limited,500033
350,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,534139
351,ALEMBIC PHARMACEUTICALS LIMITED,533573
352,Vedant Fashions Limited,543463
353,Ratnamani Metals & Tubes Ltd,520111
354,DCM Shriram Limited,523367
355,IIFL FINANCE LIMITED ,532636
356,Bikaji Foods International Limited,543653
357,Grindwell Norton Ltd.,506076
358,Anant Raj Limited,515055
359,Vinati Organics Ltd.,524200
360,Carborundum Universal Ltd.,513375
361,Deepak Fertilizers &Petrochemicals,500645
362,Amara Raja Energy & Mobility Limited,500008
363,E.I.D. Parry (India) Ltd.,500125
364,Gujarat State Petronet Ltd.,532702
365,Zensar Technologies Ltd.,504067
366,Triveni Turbine Limited,533655
367,Concord Biotech Limited,543960
368,Aditya Birla Lifestyle Brands Limited,544403
369,HBL ENGINEERING LIMITED,517271
370,Ventive Hospitality Limited,544321
371,Sarda Energy & Minerals Ltd,504614
372,Kajaria Ceramics Ltd,500233
373,JUBILANT PHARMOVA LIMITED,530019
374,LMW Limited,500252
375,IRCON International Ltd,541956
376,eClerx Services Limited,532927
377,Neuland Laboratories Limited.,524558
378,Century Plyboards (India) Ltd.,532548
379,BEML Ltd,500048
380,Aptus Value Housing Finance India Limited,543335
381,SIGNATUREGLOBAL (INDIA) LIMITED,543990
382,Sai Life Sciences Limited,544306
383,Whirlpool of India Ltd,500238
384,Maharashtra Scooters Ltd.,500266
385,V-Guard Industries Ltd.,532953
386,NAVA LIMITED,513023
387,CIE Automotive India Limited,532756
388,UTI Asset Management Company Limited,543238
389,Techno Electric & Engineering Company Limited,542141
390,Afcons Infrastructure Limited,544280
391,International Gemmological Institute India Limited,544311
392,Elgi Equipments Ltd.,522074
393,Capri Global Capital Limited,531595
394,Natco Pharma Ltd.,524816
395,Akzo Nobel India Limited,500710
396,TRAVEL FOOD SERVICES LIMITED,544443
397,Caplin Point Laboratories Ltd.,524742
398,Aditya Birla Fashion and Retail Limited,535755
399,JBM Auto Limited,532605
400,Sobha Limited,532784
401,Indian Energy Exchange Limited,540750
402,ACME Solar Holdings Limited,544283
403,Bata India Limited,500043
404,Aarti Industries Ltd,524208
405,BLS International Services Ltd,540073
406,JUPITER WAGONS LIMITED,533272
407,DOMS Industries Limited,544045
408,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,544286
409,Kirloskar Brothers Ltd.,500241
410,Transformers and Rectifiers (India) Limited,532928
411,Zen Technologies Ltd.,533339
412,Aditya Infotech Limited,544466
413,Trident Ltd,521064
414,PCBL Chemical Limited,506590
415,LT Foods Limited,532783
416,Blue Dart Express Ltd.,526612
417,Rainbow Children's Medicare Limited,543524
418,IFCI Ltd.,500106
419,City Union Bank Ltd,532210
420,IndiaMART InterMESH Limited,542726
421,Godrej Agrovet Limited,540743
422,Data Patterns (India) Limited,543428
423,Fine Organic Industries Limited,541557
424,TBO TEK LIMITED,544174
425,Ather Energy Limited,544397
426,Newgen Software Technologies Limited,540900
427,AAVAS Financiers Limited,541988
