Sr. No.,Company,BSE Code
727,Shilchar Technologies Ltd.,531201
728,SMARTWORKS COWORKING SPACES LIMITED,544447
729,Raymond Limited,500330
730,AGI GREENPAC LIMITED,500187
731,Pilani Investment And Industries Corporation Limited,539883
732,Responsive Industries Ltd,505509
733,Laxmi Organic Industries Limited,543277
734,The Anup Engineering Ltd,542460
735,Refex Industries Limited,532884
736,MAS Financial Services Limited,540749
737,Entero Healthcare Solutions Limited,544122
738,Subros Ltd.,517168
739,PDS LIMITED,538730
740,India Glycols Ltd,500201
741,PTC India Ltd,532524
742,National Standard (India) Limited,504882
743,GMM Pfaudler Ltd.,505255
744,Indigo Paints Limited,543258
745,INSOLATION ENERGY LIMITED,543620
746,ZAGGLE PREPAID OCEAN SERVICES LIMITED,543985
747,J. Kumar Infraprojects Limited,532940
748,Electronics Mart India Limited,543626
749,Hindustan Construction Co. Ltd.,500185
750,INFIBEAM AVENUES LIMITED,539807
751,SIS LIMITED,540673
752,AXISCADES TECHNOLOGIES LIMITED,532395
753,Gujarat Ambuja Exports Ltd.,524226
754,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,544263
755,SpiceJet Limited,500285
756,Jindal Worldwide Ltd.,531543
757,Styrenix Performance Materials Limited,506222
758,Optiemus Infracom Limited,530135
759,JANA SMALL FINANCE BANK LIMITED,544118
760,INNOVA CAPTAB LIMITED,544067
761,India Tourism Development Corporati,532189
762,TARC LIMITED,543249
763,Swaraj Engines Ltd.,500407
764,Sun Pharma Advanced Research Company Ltd.,532872
765,Kennametal India Limtied,505890
766,QUALITY POWER ELECTRICAL EQUIPMENTS LIMITED,544367
767,Sunflag Iron & Steel Co. Ltd.,500404
768,Rain Industries Limited,500339
769,Balaji Amines Ltd.,530999
770,Sterlite Technologies Limited.,532374
771,Bannari Amman Sugars Ltd.,500041
772,Quess Corp Limited,539978
773,VRL Logistics Limited,539118
774,VST Industries Ltd.,509966
775,Greaves Cotton Ltd.,501455
776,R Systems International Limited,532735
777,FIEM INDUSTRIES LIMITED,532768
778,MTAR Technologies Limited,543270
779,CARE Ratings Limited,534804
780,Nirlon Limited,500307
781,Kitex Garmenets Ltd.,521248
782,Johnson Controls-Hitachi Air Conditioning India Ltd.,523398
783,Suven Life Sciences Ltd.,530239
784,NIIT Learning Systems Limited,543952
785,INDIQUBE SPACES LIMITED,544454
786,Orient Electric Limited,541301
787,Sky Gold And Diamonds Limited,541967
788,Raymond Realty Limited,544420
789,National Fertilizers Ltd.,523630
790,Restaurant Brands Asia Limited,543248
791,D.B.Corp Limited,533151
792,HeidelbergCement  India Limited,500292
793,Bondada Engineering Limited,543971
794,Dynamatic Technologies Ltd.,505242
795,Jayaswal Neco Industries Ltd,522285
796,Samhi Hotels Limited,543984
797,Ceigall India Limited,544223
798,MAGELLANIC CLOUD LIMITED,538891
799,NACL Industries Limited,524709
800,Hawkins Cooker Ltd.,508486
801,Ashapura Minechem Ltd,527001
802,Datamatics Global Services Limited,532528
803,Awfis Space Solutions Limited,544181
804,Sequent Scientific Limited,512529
805,SUNDARAM-CLAYTON LIMITED,544066
806,Gokul Agro Resources Ltd,539725
807,Gujarat Alkalis & Chemicals Ltd.,530001
808,Camlin Fine Sciences Ltd,532834
809,Fedbank Financial Services Limited,544027
810,Cigniti Technologies Ltd,534758
811,Kingfa Science & Technology (India) Ltd,524019
812,Go Fashion (India) Limited,543401
813,LUX Industries Limited,539542
814,Gopal Snacks Limited,544140
815,DCB Bank Limited,532772
816,Heritage Foods Limited,519552
817,Hikal Ltd.,524735
818,Aarti Drugs Limited,524348
819,WPIL Ltd,505872
820,MPS Limited,532440
821,ENVIRO INFRA ENGINEERS LIMITED,544290
822,Prime Focus Limited,532748
823,Uflex Limited,500148
824,Grauer & Weil (India) Ltd.,505710
825,Indian Metals & Ferro Alloys Limited,533047
826,Neogen Chemicals Limited,542665
827,IndoStar Capital Finance Limited,541336
828,Shreeji Shipping Global Limited,544490
829,Wonderla Holidays Limited,538268
830,63 Moons Technologies Limited,526881
831,SG MART LIMITED,512329
832,L.g.Balkrishnan & Bros. Ltd.,500250
833,Borosil Limited,543212
834,Indraprastha Medical Corporation Lt,532150
835,Vadilal Industries Ltd.,519156
836,Unichem Laboratories Ltd.,506690
837,Protean eGov Technologies Limited,544021
838,Network People Services Technologies Limited,544396
839,Sanathan Textiles Limited,544314
840,Ujaas Energy Limited,533644
841,Shanthi Gears Ltd.,522034
842,Hemisphere Properties India Limited,543242
843,GNG Electronics Limited,544455
844,Goldiam International Ltd.,526729
845,Kirloskar Industries Ltd,500243
846,Rolex Rings Limited,543325
847,SML ISUZU LIMITED,505192
848,Vaibhav Global Ltd,532156
849,Dishman Carbogen Amcis Limited,540701
850,Greenply Industries Ltd,526797
851,TANFAC Industries Ltd.,506854
852,Sindhu Trade Links Limited,532029
853,RPG Life Sciences Limited,532983
854,Avantel Limited,532406
855,Dhani Services Limited,532960
856,Jain Irrigation Systems Ltd.,500219
857,Kothari Industrial Corpn. Ltd.,509732
858,Orchid Pharma Limited,524372
859,Bhagiradha Chemicals and Industries,531719
860,JTEKT India Limited,520057
861,Northern Arc Capital Ltd.,544260
862,S.J.S. Enterprises Limited,543387
863,Ganesha Ecosphere Limited,514167
864,Gujarat Themis Biosyn Ltd.,506879
865,Easy Trip Planners Limited,543272
866,V.S.T.Tillers Tractors Ltd.,531266
867,Ramky Infrastructure Limited,533262
868,ROSSARI BIOTECH LIMITED,543213
869,Jamna Auto Industries Ltd.,520051
870,Polyplex Corporation Ltd.,524051
871,RRP SEMICONDUCTOR LIMITED,504346
872,Gufic BioSciences Ltd.,509079
873,PITTI ENGINEERING LIMITED,513519
874,Cyient DLM Limited,543933
875,Harsha Engineers International Limited,543600
876,Steel Strips & Wheels Ltd,513262
877,Kalyani Steels Ltd,500235
878,MSTC Limited,542597
879,Balmer Lawrie & Co. Ltd.,523319
880,IMAGICAAWORLD ENTERTAINMENT LIMITED,539056
881,Share India Securities Limited,540725
882,SAMBHV STEEL TUBES LIMITED,544430
883,Nalwa Sons Investment Ltd,532256
884,Marathon Nextgen Realty Ltd,503101
885,Medi Assist Healthcare Services Limited,544088
886,EPACK Durable Limited,544095
887,Ajmera Realty & Infra India Limited,513349
888,Advanced Enzyme Technologies Limited,540025
889,MOSCHIP TECHNOLOGIES LIMITED,532407
890,Prince Pipes and Fittings Limited,542907
891,Hubtown Limited,532799
892,Artemis Medicare Services Limited,542919
893,D P ABHUSHAN LIMITED,544161
894,Cupid Limited,530843
895,JASH ENGINEERING LIMITED,544402
896,Patel Engineering Ltd,531120
897,STANDARD GLASS LINING TECHNOLOGY LIMITED,544333
898,Bharat Bijlee Ltd.,503960
899,BHARAT GLOBAL DEVELOPERS LIMITED,521238
900,Kolte-Patil Developers Ltd,532924
901,Interarch Building Solutions Limited,544232
902,ARKADE DEVELOPERS LIMITED,544261
903,TCPL Packaging Limited,523301
904,Centum Electronics Ltd,517544
905,GK ENERGY LIMITED,544525
906,Mangalore Chemicals & Fertilisers L,530011
907,EMS LIMITED,543983
908,MARSONS LIMITED,517467
909,Apeejay Surrendra Park Hotels Limited,544111
910,Vishnu Chemicals Limited,516072
911,Goodluck India Limited,530655
912,KIRI INDUSTRIES LIMITED,532967
913,KDDL Ltd,532054
914,Greenpanel Industries Limited,542857
915,Prabha Energy Limited,544379
916,HPL Electric & Power Limited,540136
917,Bombay Dyeing & Mfg. Co. Ltd.,500020
918,West Coast Paper Mills Limited,500444
919,Navneet Education Limited,508989
920,Gateway Distriparks Limited,543489
921,ASM Technologies Ltd.,526433
922,Allcargo Logistics Ltd,532749
923,Brigade Hotel Ventures Limited,544457
924,TeamLease Services Limited,539658
925,Pennar Industries Ltd.,513228
926,S H Kelkar and Company Limited,539450
927,Dalmia Bharat Sugar and Industries Ltd,500097
928,Digitide Solutions Limited,544413
929,SUNDROP BRANDS LIMITED,500215
930,Lumax Industries Ltd.,517206
931,Morepen Laboratories Ltd.,500288
932,LS Industries Limited,514446
933,Kewal Kiran Clothing Ltd.,532732
934,Sagar Cements Ltd,502090
935,Ashiana Housing Limited,523716
936,Siyaram Silk Mills Ltd.,503811
937,DCX Systems Limited,543650
938,Foseco India Ltd,500150
939,NOCIL Ltd,500730
940,EFC (I) LIMITED,512008
941,Globus Spirits Limited,533104
942,Precision Wires India ltd.,523539
943,K.P. Energy Limited,539686
944,Flair Writing Industries Limited,544030
945,Deep Industries Limited,543288
946,DDEV PLASTIKS INDUSTRIES LIMITED,543547
947,Gujarat Industries Power Co. Ltd,517300
948,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,539837
949,Arvind SmartSpaces Limited,539301
950,Prakash Industries Ltd.,506022
951,Pokarna Ltd.,532486
952,PAISALO DIGITAL LIMITED,532900
953,RPSG VENTURES LIMITED,542333
954,TechNVision Ventures Limited,501421
955,Ram Ratna Wires Ltd.,522281
956,BF Utilities Ltd.,532430
957,Mahanagar Telephone Nigam Ltd.,500108
958,Jubilant Agri and Consumer Products Limited,544355
959,Shivalik Bimetal Controls Ltd.,513097
960,Bajaj Hindusthan Sugar Limited,500032
961,Fineotex Chemical Limited,533333
962,Thirumalai Chemicals Ltd.,500412
963,Stylam Industries Limited,526951
964,HLE GLASCOAT LIMITED,522215
965,Windsor Machines Limited,522029
966,BAJAJ CONSUMER CARE LIMITED,533229
967,JTL INDUSTRIES LIMITED,534600
968,Solarworld Energy Solutions Limited,544532
969,PSP Projects Limited,540544
970,Som Distilleries & Breweries Ltd.,507514
971,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,544530
972,Alembic  Ltd,506235
973,FUSION FINANCE LIMITED,543652
974,SOLARA ACTIVE PHARMA SCIENCES LIMITED,541540
975,Nucleus Software Exports Ltd,531209
976,Sandhar Technologies Limited,541163
977,Venus Pipes & Tubes Limited,543528
978,Savita Oil Technologies Limited,524667
979,Capacit'e Infraprojects Limited,540710
980,SENORES PHARMACEUTICALS LIMITED,544319
981,La Opala RG Ltd.,526947
982,Panacea Biotec Ltd.,531349
983,CEINSYS TECH LIMITED,538734
984,Bhansali Engineering Polymers Ltd.,500052
985,TCI Express Limited,540212
986,Premier Explosives Ltd.,526247
987,HMT Limited,500191
988,HONDA INDIA POWER PRODUCTS LIMITED,522064
989,Mahindra Logistics Limited,540768
990,Parag Milk Foods Limited,539889
991,Nitco Ltd.,532722
992,ADF Foods Limited.,519183
993,Federal-Mogul Goetze (India) Ltd,505744
994,Jindal Poly Films Ltd.,500227
995,Pondy Oxides & Chemicals Limited,532626
996,Vikran Engineering Limited,544496
997,Elcid Investments Ltd.,503681
998,Taj GVK Hotels & Resorts Ltd.,532390
999,Automotive Axles Ltd.,505010
1000,Hathway Cable & Datacom Limited,533162
1001,Eveready Industries India Ltd.,531508
1002,Genesys International Corporation Ltd.,506109
1003,NRB Bearings Ltd.,530367
1004,Monarch Networth Capital Limited,511551
1005,Sanghvi Movers Ltd.,530073
1006,IOL Chemicals & Pharmaceuticals Ltd,524164
1007,Oriental Hotels Ltd.,500314
1008,Indoco Remedies Ltd.,532612
1009,Tasty Bite Eatables Ltd.,519091
1010,KP GREEN ENGINEERING LIMITED,544150
1011,Muthoot Microfin Limited,544055
1012,Prataap Snacks Limited,540724
1013,Vimta Labs Ltd.,524394
1014,UTKARSH SMALL FINANCE BANK LIMITED,543942
1015,BRIGHTCOM GROUP LIMITED,532368
1016,Timex Group India Ltd,500414
1017,Man Industries (India) Ltd,513269
1018,Nilkamal Limited,523385
1019,EURO PRATIK SALES LIMITED,544519
1020,Cosmo First Limited,508814
1021,Spectrum Electrical Industries Limited,544386
1022,Repco Home Finance Limited,535322
1023,Krsnaa Diagnostics Limited,543328
1024,Hinduja Global Solutions Limited,532859
1025,Ramco Industries Ltd,532369
1026,M & B ENGINEERING LIMITED,544470
1027,RAVINDRA ENERGY LIMITED,504341
1028,Insecticides India Ltd.,532851
1029,Bajel Projects Limited,544042
1030,PTC India Financial Services Limited,533344
1031,RAJESH POWER SERVICES LIMITED ,544291
1032,AGI Infra Limited,539042
1033,CARRARO INDIA LIMITED,544320
1034,SEPC LIMITED,532945
1035,Tourism Finance Corpn. Of India Ltd,526650
1036,Sula Vineyards Limited,543711
1037,Shipping Corporation of India Land and Assets Limited,544142
1038,Aeroflex Industries Limited,543972
1039,Delta Corp Limited,532848
1040,Mayur Uniquoters ltd.,522249
1041,Hind Rectifiers Ltd.,504036
1042,BN AGROCHEM LIMITED,526125
1043,EIH Associated Hotels Ltd.,523127
1044,Filatex India Ltd.,526227
1045,Novartis India Limited.,500672
1046,CARYSIL LIMITED,524091
1047,DCW Ltd.,500117
1048,Sai Silks (Kalamandir) Limited,543989
1049,Hindustan Oil Exploration Co. Ltd.,500186
1050,Sika Interplant Systems Ltd.,523606
1051,TVS Srichakra Ltd.,509243
1052,STRING METAVERSE LIMITED,534535
1053,Mold-Tek Packaging Limited,533080
1054,Kilburn Engineering Ltd,522101
1055,Seamec Ltd,526807
1056,Universal Cables Ltd.,504212
1057,Baazar Style Retail Limited,544243
1058,India Pesticides Limited,543311
1059,NDR Auto Components Limited,543214
1060,SUMMIT SECURITIES LTD.,533306
1061,Hindware Home Innovation Limited,542905
1062,SG FINSERVE LIMITED,539199
1063,Vardhman Special Steels Ltd,534392
1064,Sasken Technologies Limited,532663
1065,Venky's (India) ltd.,523261
1066,YASHO INDUSTRIES LIMITED,541167
1067,Tatva Chintan Pharma Chem Limited,543321
1068,Goodyear India Ltd.,500168
1069,Geojit Financial Services Limited,532285
1070,Fino Payments Bank Limited,543386
1071,WELSPUN SPECIALTY SOLUTIONS LIMITED,500365
1072,EXICOM TELE-SYSTEMS LIMITED,544133
1073,Dollar Industries Limited,541403
1074,Laxmi Dental Limited,544339
1075,WONDER ELECTRICALS LIMITED,543449
1076,Shalby Limited,540797
1077,Meghmani Organics Limited,543331
1078,Sri Adhikari Brothers Television Ne,530943
1079,Indian Hume Pipe Co. Ltd.,504741
1080,IDEAFORGE TECHNOLOGY LIMITED,543932
1081,CANTABIL RETAIL INDIA LIMITED,533267
1082,Shankara Building Products Limited,540425
1083,Afcom Holdings Limited,544224
1084,Indo Tech Transformers Limited,532717
1085,SMS Pharmaceuticals Ltd,532815
1086,Kalyani Investment Company Limited,533302
1087,Steelcast Ltd.,513517
1088,NIBE LIMITED,535136
1089,Rane Holdings Ltd.,505800
1090,Panama Petrochem Ltd.,524820
1091,Jyoti Structures Ltd.,513250
1092,Indo Thai Securities Limited,533676
1093,Sirca Paints India Limited,543686
1094,Sangam (India) Ltd,514234
1095,Mangalam Cement Ltd.,502157
1096,Blue Pearl Agriventures Limited,514440
1097,LANDMARK CARS LIMITED,543714
1098,TIL Ltd.,505196
1099,ACCELYA SOLUTIONS INDIA LIMITED,532268
1100,Deccan Gold Mines Ltd.,512068
1101,Pix Transmissions Ltd.,500333
1102,Dr.Agarwals Eye Hospital Ltd.,526783
1103,Nitin Spinners Ltd.,532698
1104,GRM Overseas Ltd.,531449
1105,STOVE KRAFT LIMITED,543260
1106,CITY PULSE MULTIVENTURES LIMITED,542727
1107,Vidhi Specialty Food Ingredients Limited,531717
1108,One Mobikwik Systems Limited,544305
1109,Simplex Infrastructures Limited,523838
1110,Nelco Ltd,504112
1111,Disa India Ltd.,500068
1112,Somany Ceramics Limited,531548
1113,Windlas Biotech Limited,543329
1114,GE Power India Limited,532309
1115,Jai Corp Limited,512237
1116,SPICE LOUNGE FOOD WORKS LIMITED,539895
1117,GTL Infrastructure Limited,532775
1118,Spandana Sphoorty Financial Limited,542759
1119,Associated Alcohols & Breweries Ltd,507526
1120,S.P. Apparels Limited,540048
1121,Rajoo Engineers Ltd.,522257
1122,Rashi Peripherals Limited,544119
1123,HI-TECH PIPES LIMITED,543411
1124,Apcotex Industries Limited,523694
1125,VISHNU PRAKASH R PUNGLIA LIMITED,543974
1126,Dynamic Cables Limited,540795
1127,RIR POWER ELECTRONICS LIMITED,517035
1128,Tarsons Products Limited,543399
1129,Polo Queen Industrial and Fintech Limited ,540717
1130,Rajratan Global Wire Ltd,517522
1131,Wendt (India) Ltd.,505412
1132,UGRO CAPITAL LIMITED,511742
1133,Updater Services Limited,543996
1134,Jaykay Enterprises Limited,500306
1135,ALL TIME PLASTICS LIMITED,544479
1136,Motisons Jewellers Limited,544053
1137,DEE DEVELOPMENT ENGINEERS LIMITED,544198
1138,Rane (Madras)  Ltd.,532661
1139,JOHN COCKERILL INDIA LIMITED,500147
1140,Unitech Ltd.,507878
1141,Jindal Drilling & Industries Ltd.,511034
1142,STANLEY LIFESTYLES LIMITED,544202
1143,ADVAIT ENERGY TRANSITIONS LIMITED,543230
1144,Dredging Corporation of India Ltd.,523618
1145,JNK India Limited,544167
1146,Knowledge Marine & Engineering Works Limited,543273
1147,Quadrant Future Tek Limited,544336
1148,BF Investment Limited,533303
1149,Rossell Techsys Limited,544294
1150,Vindhya Telelinks Ltd.,517015
1151,R M DRIP AND SPRINKLERS SYSTEMS LIMITED,544456
1152,Balmer Lawrie Investments Ltd.,532485
1153,APOLLO PIPES LIMITED,531761
1154,SHRINGAR HOUSE OF MANGALSUTRA LIMITED,544512
1155,Precision Camshafts Limited,539636
1156,TCC CONCEPT LIMITED,512038
1157,Himatsingka Seide Ltd.,514043
1158,DIVGI TORQTRANSFER SYSTEMS LIMITED,543812
1159,Mukand Ltd.,500460
1160,Veranda Learning Solutions Limited,543514
1161,PNB Gilts Ltd,532366
1162,Confidence Petroleum India Limited,526829
1163,D-Link (India) Ltd,533146
1164,Seshasayee Paper & Boards Ltd.,502450
1165,Kernex Microsystems (India) Ltd.,532686
1166,ALGOQUANT FINTECH LIMITED,505725
1167,TTK Healthcare Ltd.,507747
1168,Talbros Automotive Components Ltd.,505160
1169,IFGL Refractories Limited,540774
1170,Quick Heal Technologies Limited,539678
1171,Systematix Corporate Services Ltd.,526506
1172,Syncom Formulations (India) Ltd.,524470
1173,CIAN Agro Industries & Infrastructure Limited,519477
1174,Rama Steel Tubes Limited,539309
1175,Navkar Corporation Limited,539332
1176,SATIN CREDITCARE NETWORK LIMITED,539404
1177,DEN Networks Limited,533137
1178,SPML Infra Limited,500402
1179,Ador Welding Ltd.,517041
1180,India Nippon Electricals Ltd,532240
1181,ASTEC LIFESCIENCES LIMITED,533138
1182,GOCL Corporation Limited,506480
1183,NIIT Ltd.,500304
1184,YATRA ONLINE LIMITED,543992
1185,IKIO Technologies Limited,543923
1186,Master Trust Ltd.,511768
1187,DAM Capital Advisors Limited,544316
1188,Antony Waste Handling Cell Limited,543254
1189,MSP STEEL & POWER LTD.,532650
1190,M.M.Forgings Ltd.,522241
1191,Uniparts India Limited,543689
1192,SANSTAR LIMITED,544217
1193,CROPSTER AGRO LIMITED,523105
1194,BLS E-Services Limited,544107
1195,SHANTI GOLD INTERNATIONAL LIMITED,544459
1196,Jaro Institute of Technology Management and Research Limited,544534
1197,OMAXE LIMITED,532880
1198,EXPLEO SOLUTIONS LIMITED,533121
1199,Sanghi Industries Ltd.,526521
1200,J.G.Chemicals Limited,544138
1201,RUPA & COMPANY LIMITED,533552
1202,Arman Financial Services Limited,531179
1203,Tinna Rubber and Infrastructure Limited,530475
1204,Arihant Superstructures Limited,506194
1205,Roto Pumps Ltd.,517500
1206,VINTAGE COFFEE AND BEVERAGES LIMITED,538920
1207,SURAKSHA DIAGNOSTIC LIMITED,544293
1208,ECOS (India) Mobility & Hospitality Limited,544239
1209,Bajaj Healthcare Limited,539872
1210,GPT Infraprojects limited,533761
1211,Dolphin Offshore Enterprises (India) ltd.,522261
1212,HUHTAMAKI INDIA LIMITED,509820
1213,G.M. Breweries Ltd.,507488
1214,Salzer Electronics Ltd.,517059
1215,Paramount Communications Ltd.,530555
1216,PAUSHAK LIMITED (formerly known as Darshak Limited),532742
1217,HMA Agro Industries Limited,543929
1218,DOLAT ALGOTECH LIMITED,505526
1219,Hester Biosciences Ltd,524669
1220,BIRLANU LIMITED,509675
1221,Orient Green Power Company Limited,533263
1222,Chaman Lal Setia Exports Ltd.,530307
1223,Igarashi Motors India Ltd.,517380
1224,KESAR INDIA LIMITED,543542
1225,Jagran Prakashan Limited,532705
1226,ESAF Small Finance Bank Ltd,544020
1227,Jyoti Resins & Adhesives Ltd,514448
1228,Jagsonpal Pharmaceuticals Limited,507789
1229,Finkurve Financial Services Limited,508954
1230,Elpro International Ltd.,504000
1231,Gandhar Oil Refinery (India) Limited,544029
1232,Amic Forging Limited,544037
1233,ANDHRA PAPER LIMITED,502330
1234,Frontier Springs Ltd.,522195
1235,Ramco Systems Ltd,532370
1236,Bliss GVS Pharma Limited,506197
1237,Shriram Properties Limited,543419
1238,Saraswati Commercial (India) Ltd.,512020
1239,Platinum Industries Limited,544134
1240,B L Kashyap and Sons Ltd,532719
1241,Lotus Chocolate Co. Ltd.,523475
1242,Sigachi Industries Limited,543389
1243,Suraj Estate Developers Limited,544054
1244,IVALUE INFOSOLUTIONS LIMITED,544523
1245,Excell Industries Ltd.,500650
1246,Everest Kanto Cylinders Ltd.,532684
1247,GHV INFRA PROJECTS LIMITED,505504
1248,Media Matrix Worldwide Ltd.,512267
1249,SMC Global Securities Limited,543263
1250,DCM Shriram Industries Ltd.,523369
1251,Shanti Educational Initiatives Limited,539921
1252,Alldigi Tech Limited,532633
1253,Ultramarine & Pigments Ltd.,506685
1254,Raj Rayon Industries Limited,530699
1255,Salasar Techno Engineering Limited,540642
1256,Rhetan TMT Limited,543590
1257,Punjab Chemicals and Crop Protection Ltd.,506618
1258,Gem Aromatics Limited,544491
1259,Khazanchi Jewellers Limited,543953
1260,Ashika Credit Capital Ltd.,543766
1261,Agarwal Industrial Corporation Limited,531921
1262,CAPITAL INDIA FINANCE LIMITED,530879
1263,ASIAN ENERGY SERVICES LTD,530355
1264,MANGAL ELECTRICAL INDUSTRIES LIMITED,544492
1265,Andrew Yule & Company Ltd,526173
1266,Orient Technologies Limited,544235
1267,IG Petrochemicals Ltd,500199
1268,Sportking India Ltd.,539221
1269,Suryoday Small Finance Bank Limited,543279
1270,Centrum Capital Limited,501150
1271,Walchandnagar Industries Ltd,507410
1272,G N A Axles Limited,540124
1273,GRP Limited,509152
1274,MIC Electronics Limited,532850
1275,Reliance Industrial Infrastructure,523445
1276,UNICOMMERCE ESOLUTIONS LIMITED,544227
1277,Heubach Colorants India Limited,506390
1278,GRAND OAK CANYONS DISTILLERY LIMITED,523862
1279,Garuda Construction and Engineering Limited,544271
1280,Alicon Castalloy Limited,531147
1281,3B BlackBio Dx Limited,532067
1282,Bajaj Steel Industries Ltd.,507944
1283,Hariom Pipe Industries Limited,543517
1284,MUFIN GREEN FINANCE LIMITED,542774
1285,Faze Three Ltd.,530079
1286,Dynacons Systems & Solutions Ltd.,532365
1287,Capital Small Finance Bank Ltd,544120
1288,LUCENT INDUSTRIES LIMITED,539682
1289,Electrotherm (India) Ltd,526608
1290,Atul Auto Limited,531795
1291,PANORAMA STUDIOS INTERNATIONAL LIMITED ,539469
1292,Bharat Wire Ropes Limited,539799
1293,Yuken India Ltd.,522108
1294,Benares Hotels Ltd,509438
1295,GPT Healthcare Limited,544131
1296,Tribhovandas Bhimji Zaveri Limited,534369
1297,Borosil Scientific Limited,544184
1298,STL Networks Limited,544395
1299,GTPL Hathway Limited,540602
1300,Godavari Biorefineries Limited,544279
1301,Deccan Cements Ltd.,502137
1302,Texmaco Infrastructure & Holdings Ltd,505400
1303,RENAISSANCE GLOBAL LIMITED,532923
1304,COLAB PLATFORMS LIMITED,542866
1305,Butterfly Gandhimathi Appliances Limited,517421
1306,Wealth First Portfolio Managers Limited,544536
1307,AYM Syntex Limited,508933
1308,Signpost India Limited,544117
1309,Midwest Gold Ltd,526570
1310,PRAVEG LIMITED,531637
1311,The Hi-Tech Gears Limited,522073
1312,Heranba Industries Limited,543266
1313,ArisInfra Solutions Limited,544419
1314,EIMCO Elecon India Ltd.,523708
1315,Virtuoso Optoelectronics Limited,543597
1316,Amines & Plasticizers Ltd,506248
1317,Vardhman Holdings Limited,500439
1318,Monte Carlo Fashions Limited,538836
1319,Indo Rama Synthetics (India) Ltd.,500207
1320,Kellton Tech Solutions Ltd.,519602
1321,Cosmic CRF Limited,543928
1322,Shree Digvijay Cement Co. Ltd.,502180
1323,Bluspring Enterprises Limited,544414
1324,BCL INDUSTRIES LIMITED,524332
1325,Dhunseri Ventures Limited,523736
1326,Rishabh Instruments Limited,543977
1327,IRM ENERGY LIMITED,544004
1328,ORIENTAL AROMATICS LIMITED,500078
1329,Sterling Tools Ltd.,530759
1330,5paisa Capital Limited,540776
1331,CFF FLUID CONTROL LIMITED,543920
1332,Kross Limited,544253
1333,Eco Recycling Limited,530643
1334,Asian Star Co. Ltd.,531847
1335,Control Print (India) Ltd.,522295
1336,Diffusion Engineers Limited,544264
1337,OM INFRA LIMITED,531092
1338,TGV SRAAC LIMITED,507753
1339,Ganesh Consumer Products Limited,544528
1340,Nelcast Limited,532864
1341,AAYUSH ART AND BULLION LIMITED,540718
1342,Ester Industries Ltd.,500136
1343,Themis Medicare Ltd.,530199
1344,The Yamuna Syndicate Ltd ,540980
1345,Kokuyo Camlin Ltd,523207
1346,Concord Enviro Systems Limited,544315
1347,Royal Orchid Hotels Ltd,532699
1348,Vascon Engineers Limited,533156
1349,Blue Cloud Softech Solutions Limited,539607
1350,Meghna Infracon Infrastructure Limited,538668
1351,BARBEQUE-NATION HOSPITALITY LIMITED,543283
1352,Fairchem Organics Limited,543252
1353,BMW INDUSTRIES LIMITED,542669
1354, Aurum PropTech Limited,539289
1355,Oswal Agro Mills Ltd.,500317
1356,Lincoln Pharmaceuticals ltd.,531633
1357,Dhanlaxmi Bank Limited,532180
1358,Arihant Foundations & Housing Ltd.,531381
1359,Indef Manufacturing Limited,544364
1360,Pudumjee Paper Products Limited,539785
1361,Automobile Corpn. of Goa Ltd.,505036
1362,Matrimony.com Limited,540704
1363,Steel Exchange India Ltd.,534748
1364,Scoda Tubes Limited,544411
1365,Gulshan Polyols Ltd.,532457
1366,Saurashtra Cement Limited,502175
1367,REGAAL RESOURCES LIMITED,544485
1368,Manaksia Coated Metals & Industries Ltd,539046
1369,Western Carriers (India) Limited,544258
1370,ABANS FINANCIAL SERVICES LIMITED,543712
1371,CREST VENTURES LIMITED,511413
1372,Manali Petrochemicals Ltd.,500268
1373,Concord Control Systems Limited,543619
1374,Pashupati Cotspin Limited,544448
1375,KMC Speciality Hospitals India Limited,524520
1376,ORIENTAL RAIL INFRASTRUCTURE LIMITED,531859
1377,Oswal Greentech Limited,539290
1378,PROSTARM INFO SYSTEMS LIMITED,544410
1379,Century Enka Ltd.,500280
1380,Balaji Telefilms Ltd.,532382
1381,Uniphos Enterprises Limited.,500429
1382,Gala Precision Engineering Limited,544244
1383,Tamil Nadu Newsprint And Papers Ltd,531426
1384,Yash Highvoltage Limited,544310
1385,Radhika Jeweltech Limited,540125
1386,Chemfab Alkalis Ltd,541269
1387,Uttam Sugar Mills Ltd,532729
1388,MERCURY EV-TECH LIMITED,531357
1389,MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,543995
1390,Likhitha Infrastructure Limited,543240
1391,InfoBeans Technologies Limited,543644
1392,Industrial & Prudential Inv. Co. Lt,501298
1393,RICO Auto Industries Ltd.,520008
1394,Valiant Organics Limited,540145
1395,ZUARI AGRO CHEMICALS LIMITED,534742
1396,Peninsula Land Limited,503031
1397,Shree Pushkar Chemicals & Fertilisers Limited,539334
1398,Indo Amines Ltd.,524648
1399,MAMATA MACHINERY LIMITED,544318
1400,DREAMFOLKS SERVICES LIMITED,543591
1401,Vakrangee Limited,511431
1402,AVT Natural Products Ltd.,519105
1403,IST Limited,508807
1404,AEROFLEX ENTERPRISES LIMITED,511076
1405,RACL Geartech Limited,520073
